Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.1779,Fri Jun 08 12:37:04 +0000 2018,0.124,0.723,0.153,The Washington Capitals defeated the Vegas Golden Knights 4-3 on Thursday night to win their first ever Stanley Cup https://t.co/9LH7ukOUEX,19,CNN
0.0,Fri Jun 08 12:31:06 +0000 2018,0.0,1.0,0.0,"For almost two-and-a-half hours, Democratic members of Congress implored a federal judge to give them more ability… https://t.co/M8BeDE5L4g",20,CNN
0.0,Fri Jun 08 12:26:05 +0000 2018,0.0,1.0,0.0,"In the Maldives, a resort offers endangered sea turtles a new life #WorldOceansDay https://t.co/hxTiEN7vyv https://t.co/2lRUjwlejD",21,CNN
0.0,Fri Jun 08 12:21:08 +0000 2018,0.0,1.0,0.0,The office of Arizona Republican Rep. Martha McSally has removed from public view a video on YouTube of her defendi… https://t.co/vHz5zfwcfH,22,CNN
0.0,Fri Jun 08 12:20:10 +0000 2018,0.0,1.0,0.0,KFC says it will break with its meat-loving tradition and begin testing a vegetarian alternative to chicken later t… https://t.co/ZhwZAm2jXB,23,CNN
0.765,Fri Jun 08 12:16:05 +0000 2018,0.145,0.526,0.329,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/W1aCVYZJdY,24,CNN
-0.4767,Fri Jun 08 12:15:05 +0000 2018,0.162,0.838,0.0,President Trump says he looks forward to 'straightening out unfair trade deals' at the G7 summit… https://t.co/fDgq4mnpgh,25,CNN
0.0,Fri Jun 08 12:12:03 +0000 2018,0.0,1.0,0.0,"The Trump administration has announced a new, multimillion dollar public awareness advertisement campaign aimed at… https://t.co/WJWYhMoKpa",26,CNN
0.0,Fri Jun 08 12:06:04 +0000 2018,0.0,1.0,0.0,Republican patience is waning when it comes to Environmental Protection Agency Administrator Scott Pruitt… https://t.co/JWErKCIMgv,27,CNN
-0.5859,Fri Jun 08 11:58:07 +0000 2018,0.211,0.789,0.0,"Police are investigating the London Fire Brigade's ""stay put"" advice during the Grenfell Tower fire last year, in w… https://t.co/LliEEOilSa",28,CNN
0.0,Fri Jun 08 11:52:03 +0000 2018,0.0,1.0,0.0,A group of Republicans went to the White House to meet with President Trump ahead of the G7 summit. Many of them co… https://t.co/w1u4uPGvir,29,CNN
0.7579,Fri Jun 08 11:48:08 +0000 2018,0.0,0.683,0.317,The Justice Department has opened an investigation into a former Senate Intelligence Committee staffer who allegedl… https://t.co/xxqwqms09h,30,CNN
0.0,Fri Jun 08 11:44:05 +0000 2018,0.0,1.0,0.0,"China must beware of the Trump-Kim summit's unintended consequences, analysts say https://t.co/UEwRPAJKCc",31,CNN
-0.1779,Fri Jun 08 11:43:45 +0000 2018,0.194,0.647,0.159,"RT @CNNPR: CNN statement regarding the death of our friend and colleague, Anthony Bourdain: https://t.co/MR1S5fP16o",32,CNN
0.34,Fri Jun 08 11:37:05 +0000 2018,0.0,0.876,0.124,Environmental Protection Agency administrator Scott Pruitt has called on his security detail to assist him with err… https://t.co/71qUhX2GDp,33,CNN
0.4939,Fri Jun 08 11:31:07 +0000 2018,0.0,0.849,0.151,"In honor of the 70th anniversary of Porsche's first car, here are stories behind the brand's best-loved designs… https://t.co/85nuSmDTlO",34,CNN
0.0,Fri Jun 08 11:25:06 +0000 2018,0.0,1.0,0.0,"From Paris to Hong Kong, and Quito to Malé, on June 8, students around the world are celebrating… https://t.co/iqPclT49QE",35,CNN
-0.6486,Fri Jun 08 11:21:44 +0000 2018,0.202,0.798,0.0,"BREAKING: Anthony Bourdain of CNN’s “Parts Unknown” is dead. The chef, storyteller and Emmy-winning host has commit… https://t.co/E1mmUnXTRS",36,CNN
0.0,Fri Jun 08 11:16:03 +0000 2018,0.0,1.0,0.0,"At least two members of US Congress are looking into Google's ties to Huawei, a massive Chinese tech firm that is u… https://t.co/FFMYqR9asr",37,CNN
0.34,Fri Jun 08 11:14:03 +0000 2018,0.0,0.897,0.103,EPA administrator Scott Pruitt has called on his security detail to drive him around so he could look for a type of… https://t.co/SfDvBEp2pF,38,CNN
0.4404,Fri Jun 08 11:12:07 +0000 2018,0.0,0.854,0.146,UK Foreign Secretary Boris Johnson appeared to suggest Donald Trump would handle Brexit negotiations better than Pr… https://t.co/LZ2phTgoWN,39,CNN
0.0,Fri Jun 08 11:12:00 +0000 2018,0.0,1.0,0.0,You may think of the Antarctic as pristine wilderness. Nope: It's already showing the effects of human activity tho… https://t.co/VNR54yn7Pf,40,CNN
0.1779,Fri Jun 08 11:07:05 +0000 2018,0.124,0.723,0.153,The Washington Capitals defeated the Vegas Golden Knights 4-3 on Thursday night to win their first ever Stanley Cup… https://t.co/lnYYkzYxSc,41,CNN
0.0,Fri Jun 08 11:04:04 +0000 2018,0.0,1.0,0.0,Former Trump campaign manager Corey Lewandowski defended White House press secretary Sarah Sanders' answer to a que… https://t.co/A5zrHlXwO3,42,CNN
0.5994,Fri Jun 08 11:01:06 +0000 2018,0.0,0.803,0.197,"""It concerns me that so many voices within the Democratic Party are going so far to the left,"" outgoing Starbucks e… https://t.co/1KljZWFiWG",43,CNN
-0.34,Fri Jun 08 10:59:05 +0000 2018,0.211,0.789,0.0,"Could ""The Staircase"" become your next true-crime obsession? https://t.co/Jh4ipZKF2P https://t.co/REjYYNVBN5",44,CNN
0.0258,Fri Jun 08 10:52:05 +0000 2018,0.0,0.942,0.058,Organic matter has been found on Mars in soil samples the Curiosity rover took from 3 billion-year-old mudstone in… https://t.co/aNhfZrjKJw,45,CNN
0.4215,Fri Jun 08 10:50:03 +0000 2018,0.0,0.872,0.128,"President Trump says the Coast Guard rescued people who ""went out in their boats to watch"" Hurricane Harvey. Local… https://t.co/y1RN6fJsTS",46,CNN
0.0,Fri Jun 08 10:46:02 +0000 2018,0.0,1.0,0.0,"A man who was punched and forcefully taken to the ground by several Arizona police officers says he wants them to ""… https://t.co/6kWqIuIoeE",47,CNN
0.0516,Fri Jun 08 10:41:06 +0000 2018,0.0,0.938,0.062,"Stormy Daniels' attorney Michael Avenatti says he owes ""an apology to the pig for associating Giuliani with a pig""… https://t.co/NKwiqV6wdW",48,CNN
-0.0516,Fri Jun 08 10:40:07 +0000 2018,0.059,0.941,0.0,President Trump is planning to leave the G7 summit during the climate portion after a spat with French President Em… https://t.co/6lgmpZ90ZU,49,CNN
0.4019,Fri Jun 08 10:36:05 +0000 2018,0.0,0.856,0.144,The International Monetary Fund is stepping in to help Argentina with a $50 billion line of credit… https://t.co/ZuuyTxqgah,50,CNN
0.0516,Fri Jun 08 10:31:05 +0000 2018,0.0,0.938,0.062,"The ""gig economy"" of freelancers and short-term workers comprises a big chunk of America's labor force, but it may… https://t.co/V8MTMKVDGY",51,CNN
0.0,Fri Jun 08 10:30:08 +0000 2018,0.0,1.0,0.0,"The Kilauea volcano has spewed enough lava to fill 45,400 Olympic-sized swimming pools, cover Manhattan 6.5 feet de… https://t.co/FpspFNBDNW",52,CNN
0.0,Fri Jun 08 10:26:06 +0000 2018,0.0,1.0,0.0,"Legalized recreational marijuana could soon be a reality in Canada, and a new report estimates that it could spark… https://t.co/bwuyNIWb86",53,CNN
0.4939,Fri Jun 08 10:20:04 +0000 2018,0.0,0.842,0.158,"The Trump administration's highly unusual deal to save ZTE, a giant Chinese tech company, is drawing deep skepticis… https://t.co/ygRzcMcuSo",54,CNN
0.5719,Fri Jun 08 10:16:05 +0000 2018,0.0,0.773,0.227,"The Trump administration won't defend central provisions of the Affordable Care Act, saying in a legal filing that… https://t.co/gAfKSREimu",55,CNN
0.0,Fri Jun 08 10:11:03 +0000 2018,0.0,1.0,0.0,"Imagine you're the leader of a major world power.

How do you deal with US President Donald Trump? https://t.co/gXvo8knNFn",56,CNN
-0.4404,Fri Jun 08 10:05:08 +0000 2018,0.244,0.756,0.0,Google says its won't use AI for weapons https://t.co/2XCFiyG5rG https://t.co/p4enbnAUNL,57,CNN
0.0,Fri Jun 08 09:59:05 +0000 2018,0.0,1.0,0.0,"For #WorldOceansDay2018, June 8, all 212 schools in the Maldives have joined CNN's #zeroplasticlunch campaign.

But… https://t.co/HxxviN9o6M",58,CNN
0.3818,Fri Jun 08 09:55:06 +0000 2018,0.0,0.88,0.12,Bernie Sanders says President Trump has not lived up to the promises he made during the 2016 presidential campaign… https://t.co/nZOG6uz55d,59,CNN
-0.2732,Fri Jun 08 09:51:02 +0000 2018,0.104,0.896,0.0,"Researchers are looking into the possibility of using blood tests to predict a woman's risk of premature birth, whi… https://t.co/aHMwttC6bt",60,CNN
0.5267,Fri Jun 08 09:45:05 +0000 2018,0.175,0.556,0.27,A coral fertility treatment designed to help heal damaged parts of Australia's Great Barrier Reef is showing signs… https://t.co/7rA5gQZyj7,61,CNN
0.0,Fri Jun 08 09:39:05 +0000 2018,0.0,1.0,0.0,This is the poem a kindergarten teacher hung up so her students know what to do in a school shooting… https://t.co/RshCO6zTVs,62,CNN
0.0,Fri Jun 08 09:38:00 +0000 2018,0.0,1.0,0.0,"Non-biodegradable chemicals called PFAS have been found in snow all over the world -- even here in the Antarctic, w… https://t.co/KFeC1VSweu",63,CNN
0.4215,Fri Jun 08 09:34:06 +0000 2018,0.0,0.797,0.203,A baby rescued from volcano rubble has been reunited with family https://t.co/qGyBM2DjcA https://t.co/tIEhwXafjl,64,CNN
0.0,Fri Jun 08 09:25:11 +0000 2018,0.0,1.0,0.0,The world's highest glass bridge will soon be home to the world's highest bungee jump https://t.co/OZfsnlVeov via… https://t.co/dct1xXah03,65,CNN
0.0,Fri Jun 08 09:01:38 +0000 2018,0.0,1.0,0.0,RT @cnni: You may think of the Antarctic as pristine wilderness. Nope: It's already showing the effects of human activity thousands of mile…,66,CNN
0.4404,Fri Jun 08 08:59:56 +0000 2018,0.0,0.854,0.146,UK Foreign Secretary Boris Johnson appeared to suggest Donald Trump would handle Brexit negotiations better than Pr… https://t.co/uLNXivJvo6,67,CNN
0.1779,Fri Jun 08 08:50:06 +0000 2018,0.124,0.723,0.153,The Washington Capitals defeated the Vegas Golden Knights 4-3 on Thursday night to win their first ever Stanley Cup https://t.co/FzIw2jqqWg,68,CNN
0.3818,Fri Jun 08 08:41:49 +0000 2018,0.0,0.88,0.12,Bernie Sanders says President Trump has not lived up to the promises he made during the 2016 presidential campaign… https://t.co/g8dVsBsvbA,69,CNN
0.0,Fri Jun 08 08:27:02 +0000 2018,0.0,1.0,0.0,"A man who was punched and forcefully taken to the ground by several Arizona police officers says he wants them to ""… https://t.co/NySXDSvS4j",70,CNN
0.5267,Fri Jun 08 08:21:43 +0000 2018,0.175,0.556,0.27,A coral fertility treatment designed to help heal damaged parts of Australia's Great Barrier Reef is showing signs… https://t.co/kd2n3qbTPe,71,CNN
0.0516,Fri Jun 08 08:14:52 +0000 2018,0.0,0.938,0.062,"Stormy Daniels' attorney Michael Avenatti says he owes ""an apology to the pig for associating Giuliani with a pig""… https://t.co/b7UUiyJ6cA",72,CNN
0.7561,Fri Jun 08 07:14:48 +0000 2018,0.053,0.702,0.245,RT @cnni: We're live on Facebook at the Great Barrier Reef on #WorldOceansDay2018. Scientists estimate 50% of the coral on this natural won…,73,CNN
0.0,Fri Jun 08 07:08:41 +0000 2018,0.0,1.0,0.0,"From Paris to Hong Kong, and Quito to Malé, on June 8, students around the world are celebrating… https://t.co/yNU6GvNH5j",74,CNN
0.0,Fri Jun 08 06:57:34 +0000 2018,0.0,1.0,0.0,"For #WorldOceansDay2018, June 8, all 212 schools in the Maldives have joined CNN's #zeroplasticlunch campaign.

But… https://t.co/eEQwoGsK17",75,CNN
0.0,Fri Jun 08 06:46:22 +0000 2018,0.0,1.0,0.0,Time cover gets Trump just right | By Michael D'Antonio via @CNNOpinion https://t.co/gK1nmJGgjV https://t.co/daLgl5Sw2G,76,CNN
0.0,Fri Jun 08 06:36:04 +0000 2018,0.0,1.0,0.0,"In the Maldives, a resort offers endangered sea turtles a new life #WorldOceansDay https://t.co/WLyrIoKbhO https://t.co/LSygLDIZGy",77,CNN
0.8519,Fri Jun 08 06:31:00 +0000 2018,0.0,0.646,0.354,Ever felt like your vacation would make a good blockbuster movie? This tour company aims to capture your travel exp… https://t.co/I5hgHamnhz,78,CNN
0.765,Fri Jun 08 06:18:04 +0000 2018,0.145,0.526,0.329,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/Eb0rHr9cU2,79,CNN
0.4939,Fri Jun 08 06:16:00 +0000 2018,0.0,0.856,0.144,IHOP says it's changing name to IHOb. Many major companies also have rebranded — some successfully and some not so… https://t.co/zbegCT9QgU,80,CNN
0.4019,Fri Jun 08 06:01:07 +0000 2018,0.0,0.856,0.144,The International Monetary Fund is stepping in to help Argentina with a $50 billion line of credit… https://t.co/VqiPghYO9b,81,CNN
0.4215,Fri Jun 08 05:46:01 +0000 2018,0.0,0.781,0.219,BlackBerry still hopes its keyboard keeps fans coming back https://t.co/AodQi1CBVV https://t.co/y2XVI034ph,82,CNN
0.0,Fri Jun 08 05:31:07 +0000 2018,0.0,1.0,0.0,Former Trump campaign manager Corey Lewandowski defended White House press secretary Sarah Sanders' answer to a que… https://t.co/cDMdSd0oap,83,CNN
0.5859,Fri Jun 08 05:21:00 +0000 2018,0.0,0.847,0.153,"One step on the island of Bermuda, and it's impossible not to be moved by its beauty, history, simplicity and charm… https://t.co/wjT3FGP4Pa",84,CNN
-0.7351,Fri Jun 08 05:01:07 +0000 2018,0.279,0.721,0.0,"In a preliminary report about a fatal Tesla crash in California, federal investigators said that the driver did not… https://t.co/LNhFLy5C1h",85,CNN
0.3612,Fri Jun 08 04:46:00 +0000 2018,0.0,0.848,0.152,3D-printed concrete houses are coming to the Netherlands. Here's what they look like. https://t.co/uWmF4SEodG https://t.co/4RvtLliA86,86,CNN
0.4939,Fri Jun 08 04:31:02 +0000 2018,0.0,0.849,0.151,"In honor of the 70th anniversary of Porsche's first car, here are stories behind the brand's best-loved designs… https://t.co/bYS7OwwKMW",87,CNN
-0.34,Fri Jun 08 04:16:00 +0000 2018,0.179,0.821,0.0,Amazon's new Fire TV Cube turns Alexa into your remote https://t.co/dEEYskLCNO https://t.co/rATP33zvWb,88,CNN
-0.4588,Fri Jun 08 04:09:01 +0000 2018,0.143,0.857,0.0,"Organizers of a fashion show in Saudi Arabia used drones to display female clothes, drawing ridicule on social medi… https://t.co/xMlDAotzCd",89,CNN
-0.8225,Fri Jun 08 04:01:09 +0000 2018,0.336,0.664,0.0,A longtime US Senate staffer was arrested on charges of lying to federal agents as part of an investigation related… https://t.co/p8GOB6DcGq,90,CNN
-0.5994,Fri Jun 08 03:51:41 +0000 2018,0.196,0.804,0.0,"RT @CuomoPrimeTime: Sen. Bernie Sanders says President Trump is ""going to war against working people"" #CuomoPrimeTime https://t.co/ZlYzrSD0…",91,CNN
0.4939,Fri Jun 08 03:46:04 +0000 2018,0.0,0.842,0.158,"The Trump administration's highly unusual deal to save ZTE, a giant Chinese tech company, is drawing deep skepticis… https://t.co/BBBT3CLiAo",92,CNN
0.5719,Fri Jun 08 03:31:11 +0000 2018,0.0,0.773,0.227,"The Trump administration won't defend central provisions of the Affordable Care Act, saying in a legal filing that… https://t.co/6imyGY1Sij",93,CNN
0.0,Fri Jun 08 03:16:05 +0000 2018,0.0,1.0,0.0,Time cover gets Trump just right | By Michael D'Antonio via @CNNOpinion https://t.co/HzRds6mDzw https://t.co/RuRLMEQCYK,94,CNN
0.0,Fri Jun 08 03:08:16 +0000 2018,0.0,1.0,0.0,"RT @CNNTonight: Did the President merely use @KimKardashian as a ""political pawn,"" someone to ""give him legitimacy"" and eventually appear i…",95,CNN
0.5719,Fri Jun 08 03:01:49 +0000 2018,0.0,0.821,0.179,A new television ad showing a gubernatorial candidate kissing his husband is the first political spot in US history… https://t.co/mnQotfgMhu,96,CNN
0.296,Fri Jun 08 02:51:07 +0000 2018,0.0,0.905,0.095,"RT @CNNTonight: ""So, yeah, he called my cell phone."" @KimKardashian tells @VanJones68 about the time President Trump rang her mobile to say…",97,CNN
0.2023,Fri Jun 08 02:46:00 +0000 2018,0.1,0.731,0.169,"""Just to know that we changed one person's life. ... We cried, maybe, on the phone for like 3 minutes straight. ...… https://t.co/UnUV9xNLbh",98,CNN
0.4201,Fri Jun 08 02:38:42 +0000 2018,0.0,0.841,0.159,"RT @CNNTonight: ""I'm here because I really want to know why did you kick Khloe off 'The Apprentice'"" - @KimKardashian reveals a joke she us…",99,CNN
0.5859,Fri Jun 08 14:35:20 +0000 2018,0.0,0.678,0.322,RT @BBCNews: The Queen has successful cataract operation https://t.co/xsbqmA0rT5,0,BBCWorld
0.0,Fri Jun 08 14:26:27 +0000 2018,0.0,1.0,0.0,Chimamanda Ngozi Adichie: Changing men and opening doors https://t.co/ByW9IlvCmJ,1,BBCWorld
-0.3182,Fri Jun 08 14:26:27 +0000 2018,0.247,0.753,0.0,The ghost village being reclaimed by nature https://t.co/vQ4NLtHSKq,2,BBCWorld
-0.9371,Fri Jun 08 13:53:16 +0000 2018,0.643,0.357,0.0,Susanna Feldman murder: Suspect in German teen's killing arrested in Iraq https://t.co/NzRl3TOjBY,3,BBCWorld
0.2263,Fri Jun 08 13:22:41 +0000 2018,0.131,0.654,0.215,Muhammad Ali: President Trump mulls draft dodging pardon https://t.co/sE4Vgx0o3z,4,BBCWorld
0.2023,Fri Jun 08 12:26:05 +0000 2018,0.0,0.816,0.184,South African company apologises for sexist beer campaign https://t.co/lio95mz2Vs,5,BBCWorld
-0.6486,Fri Jun 08 12:04:07 +0000 2018,0.158,0.842,0.0,"RT @BBCBreaking: US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://…",6,BBCWorld
-0.6486,Fri Jun 08 11:34:10 +0000 2018,0.35,0.65,0.0,Anthony Bourdain: Celebrity chef found dead at 61 https://t.co/CSe1SfLbyh,7,BBCWorld
0.7407,Fri Jun 08 11:18:49 +0000 2018,0.175,0.489,0.336,"RT @BBC_HaveYourSay: What do you do when a loved one suffers from depression? If you are happy to do so, please share your stories with us.…",8,BBCWorld
0.0,Fri Jun 08 11:16:57 +0000 2018,0.0,1.0,0.0,"RT @BBCSteveR: President Putin's TV phone-in: ""democracy in action"" or ""the product of an inefficient system""?  My quick take on the marath…",9,BBCWorld
0.0,Fri Jun 08 11:09:25 +0000 2018,0.0,1.0,0.0,RT @BBCEarth: Sir David Attenborough’s message for #WorldOceansDay. 🌊💙 https://t.co/H7x7bD25hZ,10,BBCWorld
-0.4939,Fri Jun 08 10:40:11 +0000 2018,0.314,0.686,0.0,Stolen Christopher Columbus letter returned to Spain https://t.co/A9KGNYDvOz,11,BBCWorld
0.0258,Fri Jun 08 10:30:17 +0000 2018,0.0,0.879,0.121,Fortnite player first to reach elusive game island https://t.co/m5yHE8weV7,12,BBCWorld
-0.2263,Fri Jun 08 10:15:03 +0000 2018,0.213,0.787,0.0,Airbnb cancels thousands of bookings in Japan https://t.co/DVjm9AfyT1,13,BBCWorld
0.0,Fri Jun 08 10:07:59 +0000 2018,0.0,1.0,0.0,Chinese house demolition halted because of swallow residents https://t.co/lfRVqFAXOW,14,BBCWorld
0.0,Fri Jun 08 09:53:26 +0000 2018,0.0,1.0,0.0,Lullaby written for school-shooting drills https://t.co/drHquGiiyy,15,BBCWorld
0.0,Fri Jun 08 09:47:46 +0000 2018,0.0,1.0,0.0,RT @bbcworldservice: What's happening to Botswana's disappearing birds of prey? https://t.co/r7ap3kXJhl,16,BBCWorld
0.0,Fri Jun 08 09:35:22 +0000 2018,0.0,1.0,0.0,"""Who could survive this heat?"" 
Eddie Santiago returns to search for his family after the Guatemala volcano 🌋… https://t.co/GuW3Knrc7s",17,BBCWorld
-0.4767,Fri Jun 08 09:32:25 +0000 2018,0.279,0.721,0.0,Trump-Kim summit: S Korean reporters arrested over N Korea 'trespass' https://t.co/wanY1HqpZg,18,BBCWorld
0.0258,Fri Jun 08 09:12:06 +0000 2018,0.0,0.945,0.055,"Turkey is holding early elections so why does it matter? 🇹🤔
Here's the BBC's Turkey correspondent @marklowen on wha… https://t.co/s8deGwPfGA",19,BBCWorld
-0.4404,Fri Jun 08 09:07:25 +0000 2018,0.244,0.756,0.0,Austria to shut seven 'political' mosques and expel imams https://t.co/40EAL3221A,20,BBCWorld
0.0,Fri Jun 08 08:57:48 +0000 2018,0.0,1.0,0.0,Making food crops that feed themselves https://t.co/L4gtmnZYwq,21,BBCWorld
0.3612,Fri Jun 08 07:26:35 +0000 2018,0.0,0.839,0.161,"RT @BBC_HaveYourSay: ""My name is Michael Patterson, sir. Thank you for delivering me."" 

https://t.co/4ktgD2zmIx",22,BBCWorld
-0.5994,Fri Jun 08 07:04:28 +0000 2018,0.281,0.719,0.0,Tariffs and Trump: War of words ahead of G7 summit https://t.co/biWNYzibei,23,BBCWorld
-0.4019,Fri Jun 08 07:04:00 +0000 2018,0.129,0.815,0.056,"RT @BBCStreeter: France has banned mobile phones in schools, should other countries do the same? On #bbcbizlive ⁦⁦@BBCBusiness⁩ we want to…",24,BBCWorld
0.0,Fri Jun 08 06:21:39 +0000 2018,0.0,1.0,0.0,Australia indigenous treaties: Historic steps 'beginning of journey' https://t.co/xCgiEZ6arL,25,BBCWorld
-0.3818,Fri Jun 08 03:11:30 +0000 2018,0.206,0.794,0.0,Big fight to bring arm wrestling to South Africa's townships https://t.co/Fj7KlFhCN2,26,BBCWorld
0.5423,Fri Jun 08 03:11:30 +0000 2018,0.0,0.696,0.304,Trump-Kim summit: Can you achieve peace on a plate? https://t.co/N7eeTPsyH3,27,BBCWorld
0.0964,Fri Jun 08 03:08:52 +0000 2018,0.102,0.783,0.115,RT @BBCMaryam: French school kids are to be banned from using mobile phones on school grounds in France from Sept. Is this a good thing ? O…,28,BBCWorld
0.0,Fri Jun 08 02:31:17 +0000 2018,0.0,1.0,0.0,Doug Ford: Ex-Toronto mayor's brother set to be Ontario premier https://t.co/Te5Kj7pBl4,29,BBCWorld
0.2023,Fri Jun 08 02:10:24 +0000 2018,0.0,0.833,0.167,IMF agrees to loan up to $50bn for Argentina https://t.co/mE818MXK46,30,BBCWorld
0.0,Fri Jun 08 01:36:11 +0000 2018,0.0,1.0,0.0,Canada moves a step closer to legalising marijuana https://t.co/g31HAMjAqT,31,BBCWorld
0.0,Fri Jun 08 01:18:43 +0000 2018,0.0,1.0,0.0,"US to send 1,600 immigration detainees to federal prisons https://t.co/JisMU9COyf",32,BBCWorld
0.3182,Fri Jun 08 00:33:47 +0000 2018,0.0,0.897,0.103,US President Donald Trump said he would consider inviting North Korea's Kim Jong-un to the White House if their sum… https://t.co/Qux6rLCASx,33,BBCWorld
-0.1531,Thu Jun 07 23:56:30 +0000 2018,0.182,0.682,0.136,UN sanctions top people smugglers in Libya in global first https://t.co/GLAS7ok1EY,34,BBCWorld
0.3182,Thu Jun 07 23:46:56 +0000 2018,0.0,0.796,0.204,Mexico candidate López Obrador thrives on promise of change https://t.co/629EgGPCut,35,BBCWorld
-0.5267,Thu Jun 07 23:44:48 +0000 2018,0.298,0.702,0.0,Viewpoint: Will Pakistan mend its ways on terror? https://t.co/mqPilVt63E,36,BBCWorld
0.0,Thu Jun 07 23:44:46 +0000 2018,0.0,1.0,0.0,Will the G7 summit be dominated by a trade row? https://t.co/fBR7R0Ynsm,37,BBCWorld
0.2732,Thu Jun 07 23:33:14 +0000 2018,0.0,0.792,0.208,Turkey’s Erdogan faces surprise test in tight vote https://t.co/e27FsI9Mrl,38,BBCWorld
0.0,Thu Jun 07 23:23:57 +0000 2018,0.0,1.0,0.0,Africa's week in pictures: 1-7 June 2018 https://t.co/9kEBFNgC8G,39,BBCWorld
0.1779,Thu Jun 07 23:09:33 +0000 2018,0.168,0.611,0.221,Guatemala volcano: 'There's no hope for finding my family' https://t.co/kVLiofAbdO,40,BBCWorld
